k4,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,e50,e51,e52,e53,e54,e55,e56,e57,e58,e59,e60,e61,e62,e63,e64,e65,e66,e67,e68,e69,e70,e71,e72,e73,e74,e75,e76,e77,e78,e79,e80,e81,e82,e83,e84,e85,e86,e87,e88,e89,e90,e91,e92,e93,e94,e95,e96,e97,e98,e99,e100,e101,e102,e103,e104,e105,e106,e107,e108,e109,e110,e111,e112,e113,e114,e115,e116,e117,e118,e119,e120,e121,e122,e123,e124,e125,e126,e127,e128,e129,e130,e131,e132,e133,e134,e135,e136,e137,e138,e139,e140,e141,e142,e143,e144,e145,e146,e147,e148,e149,e150,e151,e152,e153,e154,e155,e156,e157,e158,e159,e160,e161,e162,e163,e164,e165,e166,e167,e168,e169,e170,e171,e172,e173,e174,e175,e176,e177,e178,e179,e180,e181,e182,e183,e184,e185,e186,e187,e188,e189,e190,e191,e192,e193,e194,e195,e196,e197,e198,e199,e200,e201,e202,e203,e204,e205,e206,e207,e208,e209,e210,e211,e212,e213,e214,e215,e216,e217,e218,e219,e220,e221,e222,e223,e224,e225,e226,e227,e228,e229,e230,e231,e232,e233,e234,e235,e236,e237,e238,e239,e240,e241,e242,e243,e244,e245,e246,e247,e248,e249,e250,e251,e252,e253,e254,e255,e256,e257,e258,e259,e260,e261,e262,e263,e264,e265,e266,e267,e268,e269,e270,e271,e272,e273,e274,e275,e276,e277,e278,e279,e280,e281,e282,e283,e284,e285,e286,e287,e288,e289,e290,e291,e292,e293,e294,e295,e296,e297,e298,e299
0,-0.030486813169214463,0.16197367957252465,-0.14210667811259675,-0.06467019095927135,0.07399084784376866,0.009244143151532547,0.015707037388554612,-0.11970531930498238,-0.010410490317723587,1.8785131436767917,-0.1716063711789276,0.04859085015193025,0.08685550152094855,-0.045680304225538634,-0.11251040958442789,-0.05916653055935755,-0.058142604595910405,1.052306056892509,-0.1683543185587632,-0.04390547976199199,0.003862127831255374,-0.031704384186831226,-0.02820642897564207,-0.029102916454738927,0.0053222256107436795,0.028968484418520037,-0.08264309012099198,-0.05559244563201315,0.08087523451405072,-0.051257603006103686,-0.042347739095964065,0.058415938450865595,-0.03164159110595099,0.06527005081359324,0.047239493256932885,-0.04162510583361564,0.008145750374857699,0.04791299027984046,-0.05699225956792583,-0.058092352992243926,-0.023932025749968375,0.06956798529132487,0.018026213188331988,-0.0611335903028015,0.026246808582174413,0.04600667756728005,-0.13753103929764454,-0.00032688405240566547,-0.002053867366402333,0.019483504902550196,-0.03496879525115625,0.03693691125478633,0.0033005887861423237,-0.02082895896312851,0.02918905940321699,0.0009002423137282243,-0.02069536345790794,-0.06077298921766942,0.020542393777157088,-0.050088949194033665,-0.05650556184608454,-0.04505279234944096,-0.03028048851714177,0.17890783747717817,0.0469381649666059,-0.08367427586697627,-0.01936941502744819,0.060599819942862856,0.027086446670343926,0.09697674312509509,0.06703634779756233,0.05521549081006504,0.16218889716597212,-0.022697507796477983,0.07822317792328581,0.037771246371168334,0.06514452928826968,-0.06907415900694538,-0.03355797820774435,0.20763489278151565,-0.02811042925632737,0.05837058087573256,-0.0985354856972575,0.004169432795945883,0.03086807151505224,-0.17273078854553292,0.07066490638202177,-0.1500369652447511,0.22461232547305504,0.021515705905246162,-0.08867644677638734,0.004744654108913329,-0.039310076881224745,0.016185372882221966,0.10397456265225277,-0.03898948761719753,-0.015086369184525307,-0.046641869316763264,-0.012865211323428827,0.014049318389621236,-0.034173077522246506,0.020508340619067745,-0.07521053959174558,-0.027807546547513724,0.0929742468641717,-0.5489823671759858,0.08943985733584747,0.011884414139348657,0.013709226957345272,0.01316684555481146,0.03784082742857966,-0.14837699594684678,0.09650454347006716,-0.08563270779460407,0.008397393340892265,-0.0012192331298119547,0.002628449747109772,-0.00018767858638648019,-0.040187592910226,-0.025526474516326454,0.07497396608801302,-0.03261681894914666,0.014863161907184808,-0.016817406632419925,0.006619994101004472,0.06037812288592748,-0.009147544675210997,-0.09593128981423388,0.042401270931610134,-0.01236519810872732,0.007833777000772722,-0.013505242784393133,-0.08284802316959797,0.020500125321697003,0.06672037316618722,0.023043181166404945,-0.015132836593337867,-0.004933580634404598,0.0012786162869469343,-0.032674230448428904,-1.1114482562327144,0.10039751351491921,0.12495467130331586,0.003929978592137607,0.007571134153679128,-0.031254001975971016,-0.058625126366823585,0.024339796858608855,0.0017160286661849194,-0.06309651021387586,-0.01119085511619708,0.023663722720295002,0.06465937998348585,0.009571531996209096,-0.051022436548314565,-0.024892614303393998,-0.06379718331946296,-0.006977655086741714,-0.009246483855650316,-0.04363787407179687,0.009406150111705206,0.032404217993902515,-0.04195737876962362,-0.05931761552796539,-0.075011723922124,-0.10320701486629619,0.041268455277238596,-0.03720092823117552,0.12614304593728493,0.012042607113656272,-0.016801970096129097,-0.004526672662538443,0.02800548709997594,-0.08700962525003218,-0.05561752172152271,0.04047636411870293,-0.022171318313702417,-0.001953280274356612,0.0032053414769724056,-0.04375589849930898,0.007121927014531817,-0.05096841030942921,-0.10255318525465038,-0.08446313162185937,-0.04655552165375788,-0.03035507606705554,-0.056097223320302224,-0.015138065829994543,0.05159655063069636,0.02401089721345019,0.0068838139587336965,0.0175729530004887,-0.08445116108228591,0.02982142502856861,0.03164404435039088,0.09246792469498982,-0.036801611264091934,-0.08958279214466114,-0.0036090215279667983,0.16294874016433095,0.0041998327934443976,-0.08035463047764757,-0.05297674640308652,-0.01025570532746728,0.14839043548959427,0.003016706265131185,0.03805489976816647,-0.00789933810580441,0.026540926742961282,0.021797777447451674,-0.05423163314866413,-0.06602033871681232,-0.027900438740450832,-0.1383959765432711,0.04348469165879717,0.11768767361952875,-0.06049145317971346,0.01136148174597055,-0.18822286463550028,0.023622694316713357,0.034591238128796956,0.00292455711383015,-0.04838684175464444,0.023572020850272837,0.01820985717085009,-0.009805973746666164,0.006111799283824411,0.10103894006369309,0.007834685633258514,0.011242285831450585,-0.08697808530787877,0.0055016537292218795,0.09017114140642014,0.0854877921249815,-0.06387986484351177,-0.058654554183431636,-0.011047852953783759,-0.07298566590020875,-0.07098847856686546,0.08738113995313775,0.05475295336094084,0.035680285177488745,0.019692652311823277,0.08235722660273158,0.09687513059338579,-0.1508438173515443,-0.04640476133991903,-0.0676129409487376,-0.12341730475698218,0.09778532723273575,0.06537288046702365,-0.05736537992430237,-0.05167248466649039,-0.036750176778566915,0.03931114549502085,0.17280199943880564,0.05264983680885927,-0.05708433034565848,-0.039678222293853045,0.014599340582517563,0.10970581975100127,0.12619001786301368,0.01658136375890143,0.07381285750817752,0.051850764523168884,-0.07448425640001088,-0.011681961790782507,0.03820711732302425,0.32246610329150777,0.019025949211619278,0.04376281909595043,-0.01609706394024527,-0.06158016356183801,-0.11142896381633026,-0.08025787250977919,0.010042082444365382,0.01127455464583257,0.043900544856165506,-0.0038463429224149305,0.1514646008493719,0.15952618395304544,0.02051585662524809,0.01203569975324728,-0.05452626479459722,-0.030841065382931153,-0.08645052392121953,0.08151822346322836,-0.07685183526855834,0.1206208380080926,-0.029835795241873027,-0.1675702381602014,0.018388633660560334,-0.011679609924331412,-0.04694023210998488,0.03190632985277418,-0.016239196334662306,-0.05200541283799337,-0.0679276934460532,0.011381750327054735,0.08542862894964648
1,-0.035432962817139924,0.08051462145969988,0.0030898681949250973,-0.0114775680746019,0.022173275691994395,-0.012064624696414774,-0.0017980656064957236,-0.04220619234435547,0.024409958134548597,0.2542077230576139,-0.05802277099484435,0.02713078727874045,-0.007142129019484855,-0.018616722784757327,-0.038902606334886514,-0.002224589272652968,-0.01613879312320093,0.3596147745847702,-0.04834808051908532,-0.010646840530870786,0.014680222164875327,0.00508231507774326,-0.0030490726463680263,-0.005808959865344849,0.02589174123288383,-0.019753989396401897,-0.04438082163407951,0.002026775465940143,0.041810659234985136,0.032169727966762506,-0.0011417734606836278,0.027028711763425514,-0.01000219106208533,0.011450366250266178,0.0339339860723927,0.01000840365080736,-0.007502267731559606,0.03548169262481119,-0.020182029517645087,0.013534906747876309,-0.0087234131401951,-0.01567063260825727,0.03916611164682903,0.009182728687077403,-0.014451194151591223,0.012195054040953087,-0.03369121931385822,0.05599016305775596,0.00559928635126338,0.010132615409719829,0.003880685948668263,0.02550358146184478,0.012710585022992186,-0.04269263396361986,-0.02497632443891444,0.020157684540698446,-0.0010456772741655675,0.04072885821089865,0.02847737144643011,-0.009130063711311847,-0.011718133364830954,-0.0201419793929045,0.003944011577494586,0.036651882253443964,-0.02747118692451085,-0.028912530548181027,0.016622512131177176,0.004992030511437826,-0.021436912706121802,0.005590485458154804,0.0028915429015446883,0.01921353463806624,-0.0026087640003075088,-0.003744895145176158,0.05637916756117752,0.02399829021529653,0.011865019690818511,0.015427707786259886,0.025612045966655526,0.05987563600781588,0.006762017734917418,0.03261261357476122,-0.007515512874726063,-0.008341990375461487,0.0072687291019694665,-0.022382575625250374,0.13428790285252035,-0.1063273168491343,0.026285661856840867,0.007770908764191868,0.008259966318012001,-0.014503418491165996,0.020333787768882196,-0.0759592821044722,0.016576503282591987,-0.04609075951604889,0.00497520906635775,0.027586792044810585,-0.018691143235348415,0.0016555380000052257,0.00633858707442414,-0.012545956141995983,-0.016722541283413123,0.02514457730733109,0.006378139492321329,0.14783562068008066,0.016898560588462994,0.004874001522414171,0.022525177287976615,0.024176467210054398,0.0415033577446593,-0.0719658156337503,0.012355065581057435,-0.022173111913546633,-0.007599633690880672,0.028745531561211325,0.016552606277960315,-0.028110333008673757,-0.018082222585340226,-0.023874614259022146,0.0038115833326278683,0.005061321345587762,-0.0026911127967580864,-0.025754227943252772,-0.02817791999908737,0.018513938428301256,0.02133842198684131,0.030598445280562513,0.009802533696179476,-0.01741924969918238,0.04942192505740632,0.005878860060385285,0.00534955304241381,-0.020924775050494084,-0.013385826765443198,-0.012597945431480184,-0.014918842093231013,0.003198203039713777,0.0014571466577203514,-0.014197358416612797,-0.19104148203936908,0.026214247885106418,0.04257881086309331,0.012342496784045719,-0.0015629892737846463,0.03572105903871348,-0.0327016496583103,-0.0009306344839457709,0.0033620028362537804,-0.0401869358566518,0.03297744435705961,-0.023320415265446242,-0.000818297875621983,-0.003443760724621825,-0.00954485464647475,-0.005912743836233858,-0.03243932239722479,-0.012588527149861105,0.009235892991105525,0.02650676414486952,0.04392411643997408,-0.027713075745291114,-0.013707235603270909,-0.035772288737532035,-0.039736018631978925,0.012060430623792993,-0.004769646101452123,-0.02583896869887562,-0.009147406343590073,0.0354307733852273,-0.0037462936150125014,0.005512509870011575,-0.03173676608891513,0.0038420306988812694,-0.006633979048973952,-0.024490130460785273,0.030396610990954705,0.010990818897530867,0.041802357220708825,-0.017330437992663626,0.0044607426780902855,-0.0010877648623696028,-0.011784966871625958,-0.02630725669587264,-0.039193311456564024,0.005873992978684748,-0.022196877837604215,0.03863106650980906,0.011943039329288205,0.0008395190928310442,-0.034754492413552586,0.038647771457013175,0.013072466030000495,3.9159891387568605e-05,-0.021769320765787806,-0.010423317294155892,-0.02402773506428975,-0.05063017090567602,-0.017212308249257218,0.03780861117411405,0.053488991321780935,-0.030733335793439228,-0.004015416166601846,-0.004703484124127919,0.028200515516800806,-0.04360792198433326,-0.0035729270267228666,-0.0058983210675740754,0.005082586856308178,-0.0212844778915706,0.006489147333643184,-0.032279615165092625,0.04138548238776051,-0.02671554528373795,0.002251051798688982,0.018884870171230153,-0.000569469898646975,-0.008864750702811692,-0.06484807712975173,0.03702310403773131,0.009290059092633713,0.016910699050640687,-0.02217759407358244,0.003660091447482745,-0.0001921012164809956,0.013456514711204083,0.013677013436860692,0.005116213854097833,0.011151078173213591,0.019393387814768806,-0.02962046860067438,-0.004738885306114053,0.028628334521692105,0.001960122843649095,-0.03410138203001294,-0.016220570228492413,-0.027221177620678924,-0.01337336958274066,-0.0073517458379053725,0.029015799218681283,-0.011434553161961958,-0.006704939904011553,0.01629021941055096,0.04099311525127492,-0.0018242388524903129,-0.023749879041973215,0.0011253226830376661,0.0072825764834236065,-0.05026153435644049,-0.009549403709780354,0.03529066872187496,0.03882009380546291,-0.00037645251261262904,-0.03218570387644622,0.007839281983951178,0.07961098466498348,-0.017728340238346182,-0.06441799626470758,-0.007396631923396713,-0.015650412138291776,0.025909159293895263,0.027173487231686104,0.006340382403532903,0.048517861155582626,-0.015143892444589606,-0.08316111626425901,0.02224874888801983,-0.01350554477301977,0.025361714515244015,-0.02267825263194167,-0.029908787118844114,0.019658819091721222,-0.01541772842532597,-0.0011122400982668086,-0.012125462818053516,0.006426232926689688,0.0005721672957511495,-0.0035283370340878787,-0.03627834922651975,0.02957631127579729,0.028039014512614813,-0.007949241630110638,0.0014300522475073545,-0.0004735084159899718,0.021580517696118198,-0.023356015590252355,0.02317813984476603,-0.02901713898889004,0.035008004624754764,0.030855249839637857,0.003796338326048079,0.005642761498725472,-0.02458741296029005,-2.3012486473397494e-05,-0.0025506393731820234,-0.005617994157546491,-0.02827298591098672,-0.055637080079087846,-0.003496112854918465,0.005618326531615681
2,-0.048465422542375076,0.18191963909892364,-0.06727758599789992,-0.05232632883864706,0.09691548857855825,-0.0006935351510681078,0.001633322472816172,-0.12825349254318727,0.012646671579086615,1.280951501406156,-0.145445361160315,0.07727576945738222,0.03765816560246234,-0.07002556873570519,-0.09611000506018172,-0.033437097868031396,-0.06349247055472985,1.1507160319731786,-0.13180216212412163,-0.051308068070144285,-0.02816836441768548,0.006269972798134124,-0.03938981643983145,-0.02644091394071718,0.04288535818767671,0.013533199187883068,-0.0862501871413014,-0.03379282011310212,0.09222542698401062,0.016487636057315215,-0.022022782380988176,0.026790772274583177,-0.012431226820562398,0.06317217829305893,0.04425915632807748,-0.0341275750569856,-0.009938768677507492,0.0511165148989396,-0.025966345131365906,-0.010616698337230796,-0.014941932330945677,0.05267866668051843,0.044120200577663825,-0.052576903419215414,-0.03731400942561987,0.05374641246178026,-0.10303896270519965,0.04580427931818611,-0.008791658657798438,0.01809522218679866,-0.017054402505684546,0.02775213610580137,0.02049672654934581,-0.014900526796566107,-0.01854376012342982,0.0008572868284961889,-0.02584120254708978,-0.004695561433618422,0.008592778998997975,-0.03194550314609212,-0.053468121793479303,-0.03621699879819062,-0.010942538730422922,0.14404649078571172,0.05895653881701247,-0.0791041198858651,0.005090850098128543,0.06477498009396256,-0.02846816259458557,0.08649106648643143,0.03981797961482348,0.042525483392707356,0.10134389775129071,-0.006695919269833701,0.10677803666105878,0.05109427966282685,0.033559803940527044,-0.034480632120847496,-0.008435546734052389,0.17750335335158385,-0.04603221017025554,0.05554792975113602,-0.037401465585943906,0.01731060478949635,0.0062663583641495695,-0.10687387142334885,0.15569345183894395,-0.09777923463718392,0.2255907240280738,-0.001306446601229254,-0.05221099291815055,0.013101612445584929,0.009865308918636472,-0.06914472349632818,0.07288663941052688,-0.1031381067807804,-0.028935569484109202,0.0006144064029817506,-0.0006716005794833808,0.001551442605610086,-0.035627046361858865,0.00985950383065546,-0.07500309486423738,-0.008644378497514342,0.054841372016056156,-0.20093420379105598,0.07670218224722283,0.04129887915399964,0.0562178472994576,0.027308022219426676,0.06605418604433698,-0.14605037567071402,0.10216076638023458,-0.057606819794506846,-0.008603574197074451,0.009440217937898034,0.033591605439795995,-0.015515036359339809,-0.007514615433666712,-0.008193980807342226,0.04817237254223633,-0.002852347608047869,0.019180429710339432,-0.02778345118769301,-0.042014257197851505,0.042760117500225674,0.02425835410534301,-0.021856305457421024,0.05774373806776846,-0.02726558205667131,0.0505961594346445,0.001476197904871347,-0.05835304806405195,-0.008219538049475677,0.034228120265622865,0.030133956639149872,-0.010779563264094088,0.007634294190172044,0.009404138572236452,-0.014395938013359018,-0.7994342257884832,0.07382576962271183,0.14013907536721001,-0.016234527387535377,-0.009597735734017848,0.012759335253750368,-0.034811421740674774,0.005030291454142151,-0.011807157836542152,-0.07375761739423839,0.019667091882824585,0.011840042983217594,0.04446439501798103,0.011455253968521832,-0.012038220822108158,-0.024687765861487534,-0.038990317899308416,-0.003238632732771713,0.02388958493847615,-0.017129765334020004,0.05245838472392419,0.01187462604440113,-0.020313252081709483,-0.09436625634812607,-0.08725492473602152,-0.0770445901610499,0.032867185960007754,-0.043872235699986606,0.1017552360335741,0.03931253959366586,-0.021554617591587326,0.027294161522292526,-0.04984659512453408,-0.030310224287811882,-0.04455580129742605,0.012684240626085039,0.02355713052115439,-0.004610760245637861,0.040220784869250986,-0.038324973690950385,0.014897582286508762,-0.05532844429736612,-0.07950289857302918,-0.08831046105617693,-0.07814164716354123,-0.027337893828964576,-0.054384171405007904,0.028018338696277238,0.03358198230121231,0.031613487595728094,-0.05089162062517762,0.02391684747969311,-0.02338614891354854,0.04321062805184808,-0.006346733592161819,0.024873331583344576,-0.05709925192851537,-0.1135385925312025,-0.009760352993236245,0.12557552457880006,0.04408615022156692,-0.09955609510697495,-0.014411065956855264,-0.005446362464656257,0.11570084977153994,-0.033492171294951384,0.022962592230346322,-0.0012740184553974988,0.010687072715166043,0.016606291632902306,-0.029282125620028146,-0.08522427057482464,-0.004589080639153298,-0.11953478589206218,0.06580531147105481,0.07832037024679056,-0.0509769268006046,-0.0006445852323724047,-0.20359015436807218,0.0734679069158189,-0.005843194445176498,0.007178598400496412,-0.04792032961791847,0.01606211510763947,0.017472158357687968,0.004514018681824942,0.033949430685326944,0.0774185956452633,0.04135164323862857,0.03533846630592821,-0.05833594574134063,-0.0447159711940045,0.09709630219847895,0.04737105780013595,-0.05617358321547307,-0.023162513015323873,-0.039487280386260516,-0.06332755093883652,-0.03947201174484619,0.08023220215950949,0.021572606456275723,0.007360541656514845,0.031938275083845766,0.06430814106206525,0.0924431701166591,-0.11038121406660559,-0.05537092433722976,-0.042074277750597015,-0.10181402875540348,0.03360362953288551,0.05766207604369041,0.012737710644298484,-0.04205257672588162,-0.05584524755502711,0.028087818115057485,0.19909778689714866,0.025909800142399034,-0.08886015773294136,-0.05934767030173344,0.01845866973471577,0.07430458626020342,0.11211721689655231,0.022079292250642677,0.054419515135372284,-0.007508113605122511,-0.14024857884416214,-0.015524785806958858,0.010690591970107141,0.24908673056258032,-0.0446059519582643,-0.015264867473474273,-0.005551255476658788,-0.04123758085249462,-0.039811983164265534,-0.06199281496448048,0.0030319983463917965,0.010891315849316576,0.039153004320575675,-0.05649500581800777,0.08066318062716164,0.13720860560747006,0.02302930840989015,0.06515957118334392,-0.032798553349969624,0.010886803893305253,-0.06805778074249527,0.05596063970091144,-0.0691445177443977,0.0850008733683409,-0.007847762270595502,-0.15214937335883197,0.010965085264514738,-0.008194735019093898,-0.016847255987960615,-0.02782697128967042,-0.006024744119506347,-0.02466493204462145,-0.07531497639702418,-0.016250057467819157,0.0508051478465831
3,-0.10340165329398587,0.1131979169222177,-0.1429071559687145,-0.15282881975872442,0.1629122165031731,0.06597718313787482,0.07763929102293332,-0.0230694092460908,0.025688952700875234,0.788084585685283,-0.41583989188075066,0.13790003037138376,0.06375835675862618,-0.03595518000656739,-0.09022627334707067,0.07051339364261366,-0.31087177339941263,1.429542588070035,-0.2958599552512169,0.07395892290060146,-0.09947942016879097,0.17256867405376397,-0.21027648751623929,-0.16398072871379554,0.04840258882177295,-0.20415347954258323,0.0077928113169036806,-0.05242092796834186,0.18767442158423364,0.16292271540442016,-0.16997019725386053,-0.007026672261417843,0.022105865624325816,0.021167761104152305,0.03042270682635717,-0.04420601674064528,0.032624787112581544,0.11362944587745005,-0.03288751160289394,0.053519136024988256,0.08540624097804539,-0.017913896881509572,0.27645771228708327,-0.020620945084374398,-0.08551789107877994,-0.18437295500189066,0.043865533829375636,0.21653024409897625,-0.027883208458661102,-0.1220725890925678,-0.07596590940374881,0.05083938039751956,-0.16202311270171776,-0.09240850239939391,-0.047448335273656994,-0.010813472734298557,0.016313101041305345,0.18318683723919094,0.04040382776020124,-0.23305148782674223,-0.18182739824987948,-0.020555793125822674,0.04741090559400618,0.11296898937871447,0.08576021985072657,0.24566363263875246,0.2108713168418035,-0.19246141849725973,-0.0750501200736835,0.011565057126063039,0.03687198553416238,0.07353101881744806,-0.13824098619443248,-0.023226353780955833,0.35308697435539216,0.3126811161637306,-0.15821661881636828,-0.05274851718422724,0.11924643343809294,0.03123353265982587,-0.08005496120313182,0.11655378516297787,-0.09680174333880132,0.12889642943628132,0.0831324343016604,-0.035699885920621455,0.4139830656349659,-0.8487319396808743,0.1692226115555968,0.1489292661426589,-0.14272771368268877,0.15313222107943147,0.0939916464635644,-0.3082203227095306,0.06536382099147886,-0.1621475761057809,-0.007539648737292737,-0.03661356749944389,0.24771181622054428,0.16109664016403258,-0.042774712535901926,0.025394613563548774,0.1306813245464582,-0.08929450140567496,-0.001421128457877785,0.4241076779726427,0.2423142136540264,-0.061521038616774604,-0.14797614276176319,0.21268829377368093,-0.1185493478551507,-0.35166264418512583,0.21163339295890182,-0.14169535582186654,-0.11153756703424733,0.07892394698501448,0.07096863118931651,-0.10859210678609088,-0.13357824133709073,-0.1266484458465129,0.2155439221241977,-0.037406567180369166,-0.07192871856386773,-0.05168395429427619,-0.3836414897814393,0.13248188915895298,0.023967386965523474,-0.1565227311803028,-0.06560891053959494,-0.19654912606347352,0.016897398716537282,0.3063957404810935,-0.24650387675501406,0.10187177505576983,0.06439218400919344,-0.0025027291776495986,0.05342685755022103,-0.2500587538816035,-0.021377790020778775,-0.03938427666616917,-0.9322044309228659,0.07681142710498534,0.022161264292662963,0.02841065829852596,0.14135497761890292,-0.14423721772618592,0.08831945407291641,0.03816850162365881,-0.16453827754594386,-0.1021530857824473,0.250257913954556,0.2007788592018187,-0.03977635098272003,0.14418656416455633,0.07094168428739067,-0.19964758586138487,-0.13963775127194822,0.05170950206229463,0.2861295430921018,0.0034844539914047346,0.1785510525223799,-0.11009910188477079,0.05344004089420196,-0.1727066968451254,-0.15212206514843274,-0.022028008848792524,-0.005448986586998217,-0.22180826857220381,0.045856939774239436,0.021500354167073965,5.30941179022193e-07,0.12703910656273365,-0.17350199748761952,-0.11960256166639738,0.048803200043039396,0.008935163008573,0.13162247396394378,-0.1650055702048121,-0.20838658198044868,-0.2562004351057112,0.06841372919734567,-0.25596644449979067,-0.039799640069759334,-0.13901803446788108,-0.34274912695400417,0.16866079601459205,-0.3180376593954861,0.12245690191048197,-0.13708422574563883,-0.04431359429145232,-0.1931189806200564,0.1299295284334221,-0.10786289123643655,0.2671196294249967,0.29453191440552473,0.01765725896348158,0.11361060367198661,-0.45439940318465233,-0.09755064918863354,0.3213390855817124,0.08491057177889161,-0.2997652878984809,0.053612864763636026,0.2909763236530125,-0.07140366687235655,-0.14871920773293823,0.006594468548428267,-0.05821454355827882,0.0781562925549224,-0.1633827171754092,-0.004872763063758612,-0.1705634887330234,0.20068486939999275,-0.21585242915898561,0.08589002399821766,-0.1053788184071891,0.09506773663451895,0.015224839014990721,-0.49140693061053753,-0.08959682845420502,0.1125205659209314,0.13706967962207273,-0.013689999337429981,0.02324732657871209,0.006608672947550076,0.23538676532916725,-0.015647029846149962,0.04595640243678645,0.1084941840299507,-0.06171561314477003,-0.049562191299628466,-0.4102343306876719,0.11123590156785212,0.06208168709417805,-0.049484273727102845,-0.10541516140801832,-0.017570538249856327,0.009536203957395628,-0.1260600978275761,0.04783717356622219,-0.07643898228707258,0.014769035915378481,0.01422230435491656,0.08232602846692316,-0.020909458864480257,-0.1920638505835086,-0.0053012730641057715,-0.11385271619656123,-0.22825633641332388,-0.13960153929656371,0.13803567783907056,0.18661952146794647,-0.012205466307932511,-0.2807176538481144,-0.10587354033486918,0.38070841785520315,-0.031295265929657035,-0.06090671644778922,-5.899328971281648e-05,-0.013859001424862072,-0.009985371943912469,0.22545224521309137,0.19703509181272238,0.21388327576278243,0.04703163789235987,-0.22450705082155764,0.1775356027064845,0.07751109574257953,0.5567376525141299,-0.28196259308606386,-0.20595502865035087,0.18821056932210922,0.05987729143816978,-0.22867610288085416,0.13457431891583838,-0.08532378845848143,0.13875599193852395,0.04015469699515961,-0.19321057313936763,0.08370573175488971,0.15334023645846173,0.01208477618638426,0.11639229574939236,-0.21614601789042354,0.05348219945881283,-0.06939327289001085,0.16740896517603687,-0.12563087709713727,0.15565831220010296,0.0033679675543680787,0.3784287590533495,-0.03649603153462522,-0.05830370330659207,-0.045948099746965454,-0.01547148933968856,-0.1103391199599173,-0.023434292061210726,-0.08037167218571994,-0.09004775357607286,0.030900498419214273
